train_idx,text,label,label_text
0,really recommend anyone need new player,1,positive
1,good every day camera fit nicely pocket jean take quality photo,1,positive
2,dollar dollar dvd player probably best,1,positive
3,got phone yesterday find problem yet,1,positive
4,1 price gb storage,1,positive
5,one cabinet shop using one regularly router table 11 year without problem,1,positive
6,say o phone run issue,0,negative
7,model appears especially good,1,positive
8,find stable hand weight actually contributes stability,1,positive
9,catch play movie fine refused read second disc movie extra two occasion tried,0,negative
10,con fm radio tuner something large number compete tor,0,negative
11,move focus range almost anywhere scene push button screen manual focus mode would really helpful shooting scene tough automatically focus,1,positive
12,problem night day screen easy see,0,negative
13,first diaper genie costly refill also stinky,0,negative
14,tech support worthless,0,negative
15,navigation take much time would eventually drive crazy,0,negative
16,n firewire real complaint since window user n generally firewire card,0,negative
17,love rounded edge fit much better pocket jean suit,1,positive
18,thing everything wash dish,1,positive
19,unfortunately loading 280 song get player either connected busy,0,negative
20,crystal clear,1,positive
21,zen xtra transfer file player folder name,0,negative
22,camera great job exposure print made professional printer look great good print pro digital camera still good,1,positive
23,course good customization option unit well sound presets navigating option playlist etc,1,positive
24,built router table tilt top made hand crank replace height adjustment knob two thing make easy change raise lower bit,0,negative
25,issue enabled wep encryption moved wpa,0,negative
26,hooking thing found would played le 50 dvd put,0,negative
27,would much nicer window could see screen button n cover ac jack,0,negative
28,e mailed online tech support simple question got reply totally unresponsive looked though actually read e mail sent back boilerplate paragraph,0,negative
29,one good looking,1,positive
30,long lasting battery life,1,positive
31,voice recorder beautiful add even necessary example apple want money creative lab want make better player,1,positive
32,however mind 299 lot pay device last 18 month,0,negative
33,problem handle use open top compartment,0,negative
34,mac osx user isync work fairly well,1,positive
35,one ever come house noticed diaper odor,1,positive
36,really made mediocre mp3 player software,0,negative
37,quick spin dial select shutter priority high speed subject aperture priority focal length full program mode camera selects ideal photo quality,1,positive
38,picture fanatic consider picky way camera let buy,1,positive
39,af feature great job converting letterbox fill 3 4 screen image still looked normal,1,positive
40,another point note battery life incredible,1,positive
41,definitely keep smell,1,positive
42,simple use hook,1,positive
43,sound loud enough play back video clip camera,0,negative
44,combine excellent price got gold box really happy,1,positive
45,thank apple make fabulous product,1,positive
46,affordable better player window,1,positive
47,problem using player feel good player,1,positive
48,sleek looking good front panel button layout great feature set,1,positive
49,old siemens s56 hand worked beautifully,0,negative
50,fourth linksys product aside rough start satisfied router,1,positive
51,player minor glitch like example turn 60 percent time si shutting mean turn turn liking,0,negative
52,easy,1,positive
53,extremely well priced getting,1,positive
54,also take kitchen sized trash bag special bag stock,1,positive
55,within one month player completely died,0,negative
56,sound great portability etc stuff expect good mp 3 player zen micro,1,positive
57,zero star rating would give,0,negative
58,speakerphone,1,positive
59,empty every day never odor,1,positive
60,took father house play tom jones concert dvd loved player much gave,1,positive
61,color 10 variety hot color made difficult choose,1,positive
62,drawback encountered 1 indoor shot distance 8ft lack contrast color found problem camera built flash used even nikon slr,0,negative
63,close 12 hour least replaceable included second one free,0,negative
64,diaper champ serf purpose live good review,0,negative
